Nummer [ID];Feldname [key];Anzeige-Titel  [label];Multiplizität;Art des Feldes;Typ;Rolle;Export zu ISO;Andere Wege;Funktionsweise;Codelisten und Vorbelegungen;Hilfe-Button;Kopier-Button;Übernahme-Button;Übernahme-Button (Vorlage);Löschen Button
44;isoMetadata.contentDescriptions.url;URL;0..1;Formularfeld;URL;"DHS
Redakteur";ISO 397;;Erfassen einer validen URL auf eine bestehende Ressource.;;0;1;0;0;0
Dienste;;;;;;;;;;;;;;;
40;isoMetadata.services;+;0..*;Bereich;Inkrement;"DHS
Redakteur";-;Geoserver;Optionales Erfassen von keinem, einem oder mehreren Diensten des Datenbestandes.;;0;0;0;0;1
58;isoMetadata.services.type;Dienst-Typ;1..1;Formularfeld;Auswahlliste;"DHS
Redakteur";-;Geoserver;Erfassen des Dienste-Typs.;"Codeliste: 
WMS, WMTS, WFS, ATOM";1;1;0;0;0
59;isoMetadata.services.title;Titel des Dienstes;1..1;Formularfeld;Freitext (max 250 Zeichen);"DHS
Redakteur";"ISO 24
(360 - title)";"Geoserver - Titel des Dienstes
Geoportal - Titel der Karte";"Erfassen des Dienste-Titels als Freitext.
Ab 100 Zeichen wird die Zeichenanzeige rot eingefärbt.";;1;1;1;0;0
60;isoMetadata.services.shortDescription;Kurzbeschreibung des Dienstes;1..1;Formularfeld;Freitext (max 500 Zeichen);"DHS
Redakteur";"ISO 25
(abstract)";;Erfassen der Dienste-Kurzbeschreibung als Freitext.;;1;1;1;0;0
45;isoMetadata.services.workspace;Arbeitsbereich des Dienstes;1..1;Formularfeld;Textfeld mit ^[a-z0-9_]+$;Redakteur;-;Geoserver - Name Arbeitsbereich;"Erfassen eines eindeutigen Bezeichners für den Arbeitsbereich des Dienstes.
Tupel aus Dienst-Typ und Dienst-ID muss metadatenübergreifend eindeutig sein. Das Formular verhindert durch Überprüfung eine Fehleingabe.
";;1;1;0;0;0
46;isoMetadata.services.preview;Vorschau des Dienstes;1..1;Formularfeld;URL;"DHS
Redakteur";"ISO 31
(ISO 48-51)";;Automatische Übernahme der Vorschau aus dem Datenbestand. Anpassen oder Ersetzen im Freitextfeld möglich.;;1;1;1;0;0
WMS / WMTS;;;;;;;;;;;;;;;
47;isoMetadata.services.legendImage;Gesamtlegende;0..1;Bereich;Überschrift;"DHS
Redakteur";ISO 31;;Erfassen einer Gesamtlegende für einen Darstellungsdienst. Breite, Höhe und Datenformat werden automatisiert abgeleitet, in der Datenbank abgelegt und bei der ISO-Erzeugung in die Metadaten übernommen.;;1;0;0;0;0
75;isoMetadata.services.legendImage.url;URL;0..1;Formularfeld;URL;"DHS
Redakteur";ISO 49;;Erfassen einer validen URL auf eine bestehende Ressource.;;0;1;0;0;0
76;isoMetadata.services.legendImage.format;Format;0..1;Formularfeld;Freitext;"DHS
Redakteur";ISO 51;;Das Format wird automatisch vom angegebenen Bild ermittelt, wenn die URL valide ist.;;0;1;0;0;0
77;isoMetadata.services.legendImage.width;Breite;0..1;Formularfeld;Ganze Zahlen;"DHS
Redakteur";-;;Die Breite wird automatisch vom angegebenen Bild ermittelt, wenn die URL valide ist.;;0;1;0;0;0
78;isoMetadata.services.legendImage.height;Höhe;0..1;Formularfeld;Ganze Zahlen;"DHS
Redakteur";-;;Die Höhe wird automatisch vom angegebenen Bild ermittelt, wenn die URL valide ist.;;0;1;0;0;0
48;clientMetadata.layers;Kartenebenen;1..*;Bereich;Inkrement;"DHS
Redakteur";-;"intern
Geoserver";Erfassen mindestens einer oder mehrerer Kartenebenen.;;1;0;0;0;1
49;clientMetadata.layers.title;Titel der Kartenebene;1..1;Formularfeld;Freitext (max 250 Zeichen);"DHS
Redakteur";-;Geoserver;Erfassen des Ebenen-Titels als Freitext.;;1;1;0;0;0
50;clientMetadata.layers.name;Name der Kartenebene;1..1;Formularfeld;"Freitext
(nur ASCII
max 100 Zeichen)";Redakteur;-;Geoserver;Erfassen des Ebenen-Namens als Freitext.;;1;1;0;0;0
52;clientMetadata.layers.styleTitle;Titel des Styles;k..1;Formularfeld;"Freitext
(max 250 Zeichen)";Redakteur;-;Geoserver - SLD-userStyle;"Optionales Erfassen des Style-Titels als Freitext. Wenn  unter ""Metadatentyp"" -> ""INSPIRE-harmonisiert"" ausgewählt wurde, ist es ein Pflichtfeld.";;1;1;0;0;0
51;clientMetadata.layers.styleName;Name des Style;1..1;Formularfeld;"Freitext
(Nur ASCII max 100 Zeichen)";Redakteur;-;Geoserver;Erfassen des Style-Namens als Freitext, Sonderzeichen sind untersagt.;;1;1;0;0;0
53;clientMetadata.layers.legendImage;Legende;0..1;Formularfeld;"URL
oder Upload";"DHS
Redakteur";-;Geoserver;Erfassen einer validen URL auf eine bestehende Ressource.;;1;1;0;0;0
54;clientMetadata.layers.shortDescription;Kurzbeschreibung;1..1;Formularfeld;Freitext (max 500 Zeichen);"DHS
Redakteur";-;Geoserver;Erfassen der Ebenen-Kurzbeschreibung als Freitext.;;1;1;0;0;0
55;clientMetadata.layers.datasource;Ablageort der Daten;0..1;Formularfeld;Freitext oder Upload;"DHS
Redakteur";-;intern;"Optionales Erfassen eines Ablageortes der von der DHS übergebenden Geodaten für diese Kartenebene.
";;1;1;0;0;0
68;clientMetadata.layers.secondaryDatasource;sekundäre Datenhaltung;0..1;Formularfeld;Freitext;Redakteur;-;"DB
GeoServer";Optionales Erfassen des Ablageortes in der sekundären Datenhaltung der GDI.;;1;1;0;0;0
WFS;;;;;;;;;;;;;;;
56;isoMetadata.services.featureTypes;FeatureTypes;1..*;Bereich;Inkrement;"DHS
Redakteur";-;Geoserver;Erfassen mindestens eines oder mehrerer FeatureTypes.;;1;0;0;0;1
61;isoMetadata.services.featureTypes.title;Titel des FeatureTypes;1..1;Formularfeld;"Freitextfeld
(max 100 Zeichen)";"DHS
Redakteur";-;Geoserver;Erfassen des FeatureType-Titels als Freitext.;;1;1;0;0;0
62;isoMetadata.services.featureTypes.name;Name des FeatureTypes;1..1;Formularfeld;"Freitextfeld
(nur ASCII
max 100 Zeichen)";Redakteur;-;Geoserver;Erfassen des FeatureType-Namens als Freitext.;;1;1;0;0;0
69;isoMetadata.services.featureTypes.shortDescription;Kurzbeschreibung des FeatureTypes;1..1;Formularfeld;Freitext (max 500 Zeichen);"DHS
Redakteur";-;Geoserver;Erfassen der FeatureType-Kurzbeschreibung als Freitext.;;1;1;0;0;0
63;isoMetadata.services.featureTypes.columns;Attribute;1..*;Bereich;Inkrement;"DHS
Redakteur";-;Geoserver;Erfassen mindestens eines oder mehrerer Attribute.;;1;0;0;0;1
64;isoMetadata.services.featureTypes.columns.name;Attribut-Name;1..1;Formularfeld;"Freitextfeld
(nur ASCII
max 100 Zeichen)";"DHS
Redakteur";-;"Datenbank
Geoserver";Erfassen eines Attribut-Namens.;;1;1;0;0;0
65;isoMetadata.services.featureTypes.columns.alias;Attribut-Alias;1..1;Formularfeld;Freitextfeld;"DHS
Redakteur";-;"Datenbank
Geoserver
Geoportal";Erfassen eines Attribut-Alias für das angelegt Attribut (Menschenlesbarer Titel).;;1;1;0;0;0
66;isoMetadata.services.featureTypes.columns.type;Attribut-Datentyp;0..1;Formularfeld;Auswahlliste;Redakteur;-;"Datenbank
Geoserver
Geoportal";Optionales Erfassen des Attribut-Datentyps in der sekundären GDI Datenhaltung.;;1;1;0;0;0
67;isoMetadata.services.featureTypes.columns.filterType;Attribut-Filter-Typ;0..1;deaktiviert;Auswahlliste;Redakteur;-;Geoportal;"Optionales Erfassen des Attribut-Filtertyps für mögliche Oberflächenfilterfunktionen.
Vorrübergehend deaktiviert.";;1;1;0;0;0
Sonstige;;;;;;;;;;;;;;;
3;clientMetadata.comments;Kommentare;1..1;Kommentare-Button;Freitextfeld;"DHS
Redakteur";-;intern;Erfassen von Kommentaren zur internen Kommunikation zwischen den verschiedenen Rollen.;;1;0;0;0;1
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
